,NB_ADD_SAMPLES,NB_ALL_AUTO_SAMPLES,FRAC_ALL_AUTO_SAMPLES_IN_TRAINING,SCORE_ADD_SAMPLES,AVG_CONF_ADD_SAMPLES,SCORE_ALL_AUTO_SAMPLES,AVG_CONF_ALL_AUTO_SAMPLES,ITER
0,4.0,4.0,0.00966183574879227,1.0,1.0,1.0,1.0,0.0
1,8.0,12.0,0.027777777777777776,0.875,1.0,0.9166666666666666,1.0,1.0
2,10.0,22.0,0.04867256637168142,0.8,1.0,0.8636363636363636,1.0,2.0
3,10.0,32.0,0.06779661016949153,0.9,1.0,0.875,1.0,3.0
4,10.0,42.0,0.08536585365853659,0.7,1.0,0.8333333333333334,1.0,4.0
5,10.0,52.0,0.1015625,0.7,1.0,0.8076923076923077,1.0,5.0
6,10.0,62.0,0.11654135338345865,0.7,1.0,0.7903225806451613,1.0,6.0
7,10.0,72.0,0.13043478260869565,0.6,1.0,0.7638888888888888,1.0,7.0
8,10.0,82.0,0.14335664335664336,0.9,1.0,0.7804878048780488,1.0,8.0
9,10.0,92.0,0.1554054054054054,1.0,1.0,0.8043478260869565,1.0,9.0
10,10.0,102.0,0.16666666666666666,0.6,1.0,0.7843137254901961,1.0,10.0
11,10.0,112.0,0.17721518987341772,0.8,1.0,0.7857142857142857,1.0,11.0
12,10.0,122.0,0.18711656441717792,0.7,1.0,0.7786885245901639,1.0,12.0
13,10.0,132.0,0.19642857142857145,0.8,1.0,0.7803030303030303,1.0,13.0
14,10.0,142.0,0.2052023121387284,0.8,1.0,0.7816901408450704,1.0,14.0
15,10.0,152.0,0.21348314606741567,0.5,1.0,0.7631578947368421,1.0,15.0
16,10.0,162.0,0.22131147540983606,0.8,1.0,0.7654320987654321,1.0,16.0
17,10.0,172.0,0.22872340425531915,1.0,1.0,0.7790697674418605,1.0,17.0
18,10.0,182.0,0.2357512953367876,0.8,1.0,0.7802197802197802,1.0,18.0
19,10.0,192.0,0.2424242424242425,1.0,1.0,0.7916666666666666,1.0,19.0
